victim_id,name,age,gender,address,district,socio_economic_status
VIC-2024-KA-0001,Bakhshi Buch,42,Other,"01/412, Doshi Chowk, Amritsar 980545",Vijayapura,Middle Class
VIC-2024-KA-0002,Gavin Date,71,Female,"02/011, Bhasin Street, Jorhat 231891",Davangere,Lower Class
VIC-2024-KA-0003,Rajata Salvi,47,Male,"34/267, Choudhry Chowk, Ujjain-701664",Chikkamagaluru,Lower Class
VIC-2024-KA-0004,Pallavi Pradhan,24,Male,"H.No. 136, Narang Road, Siliguri 415916",Vijayapura,Upper Middle Class
VIC-2024-KA-0005,Ayush Varughese,70,Female,"45/005, Bora Street, Vijayanagaram 103687",Ballari,Middle Class
VIC-2024-KA-0006,Ansh Cheema,31,Male,"38/89, Bali Road, Narasaraopet-224822",Shivamogga,Lower Class
VIC-2024-KA-0007,Amara Sibal,48,Male,"09, Karnik Road, Rewa 504530",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0008,Samarth Gupta,48,Female,"39/66, Wali Zila, Bhind-156526",Belagavi,Upper Middle Class
VIC-2024-KA-0009,Dakshesh Majumdar,57,Female,"H.No. 472, Pillay Marg, Secunderabad 243339",Shivamogga,Upper Middle Class
VIC-2024-KA-0010,George Kant,35,Male,"20, Sanghvi Chowk, Ambarnath-683448",Davangere,Lower Class
VIC-2024-KA-0011,Ekansh Balasubramanian,57,Other,"02/86, Patla Chowk, Bulandshahr-292720",Tumakuru,Upper Middle Class
VIC-2024-KA-0012,Zayan Bhandari,25,Other,"H.No. 56, Behl Nagar, Mehsana-027286",Belagavi,Middle Class
VIC-2024-KA-0013,Jalsa Gaba,22,Other,"07/92, Kale Street, Surendranagar Dudhrej 226161",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0014,Yauvani Prabhakar,56,Female,"85, Nadig Street, Ghaziabad-783036",Chikkamagaluru,Middle Class
VIC-2024-KA-0015,Eesha Karan,73,Other,"H.No. 74, Peri Ganj, Silchar-316166",Bengaluru Urban,Lower Class
VIC-2024-KA-0016,Omkaar Kaur,11,Other,"35/155, Bhat, Berhampur-455153",Bengaluru Urban,Lower Class
VIC-2024-KA-0017,Anusha Bail,52,Male,"57/34, Bhagat Chowk, Shahjahanpur 064688",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0018,Parth Sule,22,Male,"300, Deo Marg, Siliguri 105662",Shivamogga,Lower Class
VIC-2024-KA-0019,Rishi Nagar,67,Other,"32/370, Narayanan Street, Ballia-047917",Tumakuru,Lower Class
VIC-2024-KA-0020,Bina Sandal,17,Male,"906, Saraf Ganj, Mangalore 096023",Bengaluru Rural,Lower Class
VIC-2024-KA-0021,Laban Sandhu,42,Male,"87/93, Solanki Marg, Delhi 832039",Bengaluru Urban,Lower Class
VIC-2024-KA-0022,Aayush Sami,70,Male,"H.No. 673, Shanker Marg, Jamshedpur 634135",Bengaluru Rural,Lower Class
VIC-2024-KA-0023,Chakradev Gokhale,62,Female,"H.No. 451, Mallick, Dharmavaram 113319",Vijayapura,Upper Middle Class
VIC-2024-KA-0024,Rehaan Gulati,19,Other,"H.No. 934, Kakar Circle, Kharagpur-898237",Davangere,Lower Class
VIC-2024-KA-0025,Yug Barad,16,Female,"793, Mistry Ganj, Satara 495606",Davangere,Upper Middle Class
